label,posture,four_class,activity_group,indoor_outdoor,activity,hand_gesture
outdoors-standing-telling story-texting-waiting,upright,sedentary,sedentary,outdoor,standing and texting and talking,talking
outdoors-telling story-waiting-walking,upright,ambulation,ambulation,outdoor,self-paced walking and talking,talking
mbta,unkown,unkown,unkown,indoor,unkown,unkown
mbta-telling story,unkown,unkown,unkown,indoor,talking,talking
telling story,unkown,unkown,unkown,unkown,talking,talking
texting-walking,upright,ambulation,ambulation,unkown,self-paced walking and texting,using phone
outdoors-phone talking-walking,upright,ambulation,ambulation,outdoor,self-paced walking and talking and using phone,holding cellphone
escalator-telling story-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator and talking,talking
escalator-telling story,upright,unkown,unkown,indoor,escalator and talking,talking
escalator-telling story-up,upright,unkown,unkown,indoor,escalator up and talking,talking
stairs-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator,free
down-stairs-telling story-walking,upright,ambulation,ambulation,indoor,walking down stairs and talking,talking
bag-telling story-walking,upright,ambulation,ambulation,unkown,self-paced walking and talking with bag,talking
bag-stairs-telling story-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator and talking with bag,talking
bag-stairs-telling story-up-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator and talking with bag,talking
shelf reload-shelf unload-standing,upright,sedentary,sedentary,unkown,standing and shelf loading or unloading,shelf loading or unloading
lying-telling story,lying,sedentary,sleep,indoor,talking,still
300 kpm/min-biking-stationary,sitting,cycling,cycling,indoor,biking outdoor and stationary biking,biking
1 mph-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 1 mph,free
1 mph-supported-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 1 mph,free
3 mph-bag-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph with bag,free
3 mph-jog/running-treadmill,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph,free
5.5 mph 5%grade-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill running at 5.5 mph,free
sweeping,upright,others,others,indoor,sweeping,sweeping
laundry,unkown,unkown,unkown,unkown,unkown,laundry
unlabelled,unkown,unkown,unkown,unkown,unkown,unkown
standing-unlabelled,upright,sedentary,sedentary,unkown,standing naturally,free
still-unlabelled,unkown,sedentary,sedentary,unkown,unkown,still
jumping jacks-unlabelled,upright,others,others,unkown,jumping jacks,jumping jacks
sitting-unlabelled,sitting,sedentary,sedentary,unkown,sitting still,free
sitting-typing-unlabelled,sitting,sedentary,sedentary,indoor,sitting and keyboard typing,keyboard typing
sitting-typing-unlabelled-web browsing,sitting,sedentary,sedentary,indoor,sitting and keyboard typing and web browsing,keyboard typing
arms on desk-sitting-typing-unlabelled-web browsing,sitting,sedentary,sedentary,indoor,sitting and keyboard typing and web browsing with arms on desk,arms on desk
sitting-unlabelled-writing,sitting,sedentary,sedentary,unkown,sitting and writing,writing
arms on desk-sitting-unlabelled-writing,sitting,sedentary,sedentary,indoor,sitting and writing with arms on desk,writing
reclining-sitting-unlabelled,sitting,sedentary,sedentary,unkown,sitting and reclining,free
reclining-sitting-telling story-unlabelled,sitting,sedentary,sedentary,unkown,sitting and reclining and talking,talking
standing-typing-unlabelled,upright,sedentary,sedentary,indoor,standing and keyboard typing,keyboard typing
standing-typing-unlabelled-web browsing,upright,sedentary,sedentary,indoor,standing and keyboard typing and web browsing,keyboard typing
arms on desk-standing-typing-unlabelled-web browsing,upright,sedentary,sedentary,indoor,standing and keyboard typing and web browsing with arms on desk,arms on desk
